Rounds,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_10
1,0.8027723796342834,0.786549107584228,0.7642730019198642,0.793331588346645,0.7805014317312244,0.7834217944484251,0.7696275032779264,0.773604316325023,0.6641104412833776,0.6039623510803486
2,0.9733201611556545,0.9525144191976291,0.9707114603476767,0.9893289950856109,0.9963218084452599,0.9601205598222453,0.9636023245324631,0.9791263249163046,0.7008555415018998,0.7365340751751209
3,1.1345269201178523,1.1370612720346276,1.1261625952600334,1.105911596998736,1.1350810929558517,1.1203472718500997,1.1076197534543843,1.1137307497393125,0.7598446033101018,0.7896679405697131
4,1.2133260697169084,1.217412944651875,1.2224354896089908,1.199586212177043,1.2205893754869175,1.2092401110108244,1.2382377048405067,1.2009556186349148,0.9084440020194451,0.8933155867155245
5,1.2934229367893448,1.3007011653315272,1.3260053583648896,1.3090008481085604,1.2960717475854104,1.2970450487418101,1.2921388477996947,1.2857206482624302,0.9577375752650391,0.9637765451527215
6,1.344709724502095,1.3362781561494679,1.3412245044214894,1.3526951026570218,1.3374916440094156,1.3665611271730698,1.3834410491242441,1.3669855194761302,,
7,1.381169429292048,1.4212331535523,1.4221497418919022,1.394957699860817,1.4157013504512335,1.4000983942068221,1.420247310011572,1.3959894646964268,,
8,1.4338051622727297,1.4118587643863987,1.4156310092094213,1.4549714787738537,1.413006772779789,1.4425329459933318,1.4230498080325404,1.4143647320832315,,
9,1.4635824358781617,1.4752611558240913,1.4730637132074222,1.4715921154055593,1.4646651794218808,1.4784446206154802,1.4600737096025376,1.4756351939625945,,
10,1.4532840577415922,1.4943311437029492,1.4508857457623638,1.4768921043553884,1.469164157800361,1.469901529819959,1.4686417898155382,1.4730248814226028,,
